id_evento;provincia;canton;parroquia;comunidad_barrio_sector;latitud;longitud;tipo_evento;causa;categoria_evento;fecha_evento;hora_del_evento;descripcion_del_evento;num_heridos;num_personas_desaparecidas;num_familias_afectadas;num_afectados_directamente;num_afectados_indirectamente;num_familias_damnificadas;num_personas_damnificadas;num_personas_evacuadas;num_personas_albergadas;num_personas_acojidas_por_familiares;num_personas_acojidas_por_otros_medios;personas_en_proceso_de_evacuacion;personas_resistidas_a_la_evacuacion;viviendas_afectadas;viviendas_destruidas;establecimientos_educativos_afectados;establecimientos_educativos_destruidos;centros_de_salud_afectados;centros_de_salud_destruidos;puentes_afectados;puentes_destruidos;bienes_publicos_afectados;bienes_publicos_destruidos;bienes_privados_afectados;bienes_privados_destruidos;vias_afectadas_m;cultivos_afectados_ha;cultivos_perdidos_ha;cobertura_vegetal_quemada_ha;animales_afectados;animales_muertos;fuente_del_evento;acciones;estado_evento;No. De personas afectadas;muertos_y_desaparecidos;num_personas_albergadas;num_personas_aph_rescate;nivel_evento;num_personas_impactadas;vias_afectadas_km
1;Tungurahua;Ambato;Totoras;Santa Rita;-1,307334;-78,606444;Deslizamiento;Lluvias;Época Lluviosa;15/4/2010;No especifica;"Deslave provoca desvío del río Ambato de su cause normal afectando una casa de construcción mixta
Pérdida de animales así como de productos agrícolas y enseres";0;0;0,5;2;0;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No especifica;La Policía Nacional detuvo manifestaciones, así como el cierre de vías.;Inicial;1;1;1;1;Nivel 1;2;0,00
2;Tungurahua;Ambato;San Francisco;Sector San Francisco, vía Baños - Puyo.;-1,238777;-78,62756;Deslizamiento;Lluvias;Época Lluviosa;20/5/2010;0:00:00;Se obstaculizó el paso por un carril en la vía Baños - Puyo.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No especifica;Personal Policial y Cuerpo de Bomberos de Baños, realizan varios operativos de búsqueda.;Inicial;1;1;1;1;Nivel 1;0;0,00
3;Tungurahua;Ambato;Atocha - Ficoa;Parroquia Atocha;-1,236058;-78,633325;Deslizamiento;Desconocida;Natural;11/7/2010;19:30:00;Causó daños a 5 viviendas, al sistema de alcantarillado y la vía de segundo orden, aproximadamente 2 kilómetros y medio, 500m2 de cultivos. 4 personas con politraumas.;4;0;6,25;25;0;0;20;0;0;0;0;0;0;5;0;0;0;0;0;0;0;2;0;0;0;2500;0;0,5;0;0;0;No especifica;La UPGR – Tungurahua, ha enviado un equipo EDAN, a la zona del evento adverso. Las familias afectadas fueron evacuadas por los Bomberos y trasladadas, donde familiares y vecinos.;Inicial;1;1;1;1;Nivel 1;45;2,50
4;Tungurahua;Ambato;La Merced;Sector de Ingahurco, Avenida Indoamérica, cerca del terminal terrestre;-1,234321;-78,617481;Deslizamiento;Desconocida;Natural;12/8/2010;11:30:00;Derrumbe, en el sector de Ingahurco, Avenida Indoamérica, cerca del terminal terrestre, esto es la salida de buses hacia el norte (Latacunga, Quito, Ibarra)  se produjo un derrumbe que obstaculizó la mitad de la calzada.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No especifica;No especifica;Inicial;1;1;1;1;Nivel 1;0;0,00
5;Tungurahua;Ambato;Izamba;"Parroquia:     Izamba
Sector:      Chachoan";-1,217549;-78,572352;Deslizamiento;Lluvias;Época Lluviosa;21/10/2010;No especifica;El bus de la Cooperativa Santa Teresita que cumplía la ruta Ambato – Pillaro, fue alcanzado por una roca mediana, que se desprendió de la ladera e impactó al automotor.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No especifica;No especifica;Inicial;1;1;1;1;Nivel 1;0;0,00
6;Tungurahua;Ambato;Atocha - Ficoa;Rodrigo Pachano ;-1,23605773;-78,6333252;Deslizamiento;Lluvias;Época Lluviosa;9/2/2013;18:30:00;"El ECU 911 informa que en el sector de Rodrigo Pachano cerca del Club Tungurahua se presento un derrumbe (Deslizamiento) por las lluvias presentadas en la noche y madrugada acude el Cuerpo de Bomberos Policía Nacional y Técnicos de la DPGR-T producto de este derrumbe afecto a una vivienda cercana según información emitida vía telefónica por parte del técnico de Respuesta la afectación fue a la pared de un dormitorio y ventana. 
No se reportan personas fallecidas ni heridas, daños en la vivienda pared de un dormitorio 1 ventana.
SSN-0522-DES-TUN13022013";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No especifica;"Acuden el Cuerpo de Bomberos de Ambato con 5 efectivos.
Policía Nacional 1 vehículo y 3 efectivos.
DPGRT: Técnico de Gestión Técnica de Riesgos Ing. Andrés Aguilar y Respuesta Ing. Paul Fierro
";Inicial;1;1;1;1;Nivel 1;0;0,00
7;Tungurahua;Ambato;Atocha - Ficoa;Ficoa, calle club Tungurahua;-1,23605773;-78,6333252;Deslizamiento;Lluvias;Época Lluviosa;21/3/2013;6:59:00;"Por consecuencia de las fuertes lluvias presentadas durante toda la noche, se produjo un deslizamiento de tierra el cual obstaculizó la libre circulación del agua en una acequia provocando el desbordamiento en la misma.
Cuerpo de Bomberos acudió al lugar para prestar ayuda, procediendo a cerrar la compuerta en la toma de la acequia para luego realizar trabajos de  limpieza del remanente de agua y material que había quedado en el sector. No se  registran afectación en las viviendas, no se reportan personas heridas ni fallecidas
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No especifica;"Bomberos: 1 camioneta con materia de zapa, bomba de succión 4 bomberos 
SNGR:       1 vehículo 2 técnicos
";Inicial;1;1;1;1;Nivel 1;0;0,00
8;Tungurahua;Ambato;Pasa;San Vicente;-1,26943023;-78,7331891;Deslizamiento;Lluvias;Época Lluviosa;16/4/2013;15:50:00;"Policía Nacional confirma el derrumbe y como resultado de este existen dos personas heridas, no se produce afectación de la vía. Se coordina con Cuerpo de Bomberos Ambato para el traslado de los heridos a una casa de salud.
HERIDOS:
Sr. Polibio Toalombo            52 años    fractura fémur izq. y fractura a nivel de tronco costal izq.
Srta. Maricela Toalombo      23 años    fractura en miembro inferior izquierdo.
Los mismos, que son trasladados a la Clínica Tungurahua en Ambato
";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No especifica;"Bomberos: 
o 1 Ambulancia
o 4  efectivos
                     Policía:
o 1 patrullero
o 2 efectivos";Inicial/Cierre;1;1;1;1;Nivel 1;0;0,00
9;Tungurahua;Ambato;La Merced;Sector Socavón  más arriba de las líneas del tren;-1,23432129;-78,6174814;Deslizamiento;Lluvias;Época Lluviosa;17/4/2013;22:03:00;"Cuando son las 00h10 el alertante nos informa de un derrumbe al cual acude personal motorizado de la Policía Nacional y confirmar  que en el lugar  se ha producido un deslizamiento de tierra y piedras, el cual ha obstaculizado parte de la vía, sin que se interrumpa el tráfico vehicular.  
Se realiza la coordinación con el Departamento de Obras Publicas Municipales con la Ing. Mariana Buenaventura, la misma que va inspeccionar e informa que el día de mañana se va a realizar los trabajos de  retirar el material de la vía y Policía Nacional colocara cercos de seguridad.
Se toma contacto con la Ing. Buenaventura, donde se nos indica que los trabajos de limpieza  se están dando lugar desde las 06h30
El Ing. Cunalata nos informa, que luego de realizada la limpieza de la vía queda agilitada en sus dos direcciones.
No se registra  afectación a viviendas ni personas.
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No especifica;"Policía Nacional: 
o 2 Motocicletas
o 2  Efectivos
                    

 MTOP:
o 8 Efectivos
o Camión MTOP                         
";Inicial/Cierre;1;1;1;1;Nivel 1;0;0,00
10;Tungurahua;Ambato;Totoras;Puente del río Panchanlica;-1,32056593;-78,594782;Deslizamiento;Lluvias;Época Lluviosa;13/5/2013;2:06:00;"Alertante informa  el deslizamiento de la montaña en la Panamericana vía a Pelileo. Policía confirma el evento y manifiesta que se trata de un derrumbe que está obstaculizando parte de los dos carriles de la vía y  dificultando la circulación vehicular. Policía toma las medidas pertinentes para evitar accidentes.
Se realizo contacto telefónico con el Ing. Marco Proaño de Obra Públicas del Consejo Provincial de Tungurahua para coordinar labores de limpieza en la vía, Hasta el momento no llega ningún personal al lugar a limpiar la vía.
";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;No especifica;"Policía,
• 1 patrullero
• 2 efectivos
";Inicial;1;1;1;1;Nivel 1;0;0,00
